source,subsource,Unit_Total_Cost,ItemNumber,dprocessedon,Total
"AMAZON FBA","Amazon ES","14.99","BIA-S925-HOOP-002","18/12/2021 01:40:49","1"
"AMAZON FBA","Amazon IT","18.99","PAV-S925-HOOP-BALI-002-020","29/12/2021 18:35:03","1"
"AMAZON FBA","Transter AMA CA","21.14","BIA-S925-CHAIN-001-030-600","09/12/2021 19:09:01","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","27/12/2021 20:58:36","1"
"AMAZON FBA","Transter AMA CA","25.64","BIA-S925-HOOP-002","21/12/2021 00:39:21","1"
"AMAZON FBA","Amazon DE","20.99","BIA-GP-CHAIN-024-140-500","07/12/2021 16:31:27","1"
"AMAZON FBA","Amazon FR","13.99","BIA-ROSE-CHAIN-001-035-450","23/12/2021 23:16:38","1"
"AMAZON FBA","Amazon UK","12.99","BIA-S925-CHAIN-012-100-600","29/12/2021 22:19:21","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","23/12/2021 22:24:06","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","16/12/2021 01:19:45","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","13/12/2021 16:56:53","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","11/12/2021 22:35:22","1"
"AMAZON FBA","Amazon DE","39.99","S925-WHI-NEC-CHA-024-047-450","14/12/2021 22:51:21","1"
"AMAZON FBA","Amazon DE","12.99","BIA-S925-CHAIN-008-035-360","06/12/2021 08:36:16","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","14/12/2021 18:32:06","1"
"AMAZON FBA","Amazon ES","11.99","BIA-S925-CHAIN-019-110-180","07/12/2021 17:46:59","1"
"AMAZON FBA","Amazon UK","9.99","BIA-S925-CHAIN-022-150-180","20/12/2021 06:11:00","1"
"AMAZON FBA","Transter AMA US","12.65","BIA-S925-CHAIN-045-140-190","13/12/2021 18:51:43","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","18/12/2021 20:53:18","1"
"AMAZON FBA","Amazon ES","45.99","BIA-GP-CHAIN-060-200","15/12/2021 22:15:26","1"
"AMAZON FBA","Amazon UK","10.99","BIA-S925-CHAIN-006-035-450","14/12/2021 00:05:20","1"
"AMAZON FBA","Transter AMA CA","32.53","BIA-S925-CHAIN-051-250-450","02/12/2021 04:52:40","1"
"AMAZON FBA","Amazon UK","13.99","BIA-S925-CHAIN-052-040-500","14/12/2021 16:17:35","1"
"AMAZON FBA","Amazon ES","17.99","GS-S925-EAR-014","15/12/2021 17:21:06","1"
"AMAZON FBA","Amazon UK","12.99","BIA-ROSE-CHAIN-020-200-190","21/12/2021 13:29:17","1"
"AMAZON FBA","Transter AMA US","12.51","BIA-S925-CHAIN-045-140-190","20/12/2021 20:20:59","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-001-030-600","28/12/2021 00:29:51","1"
"AMAZON FBA","Amazon FR","43.99","S925-WHI-NEC-CHA-025-055-550","17/12/2021 00:36:16","1"
"AMAZON FBA","Amazon FR","17.99","BIA-GP-CHAIN-041-220-250","20/12/2021 08:34:26","1"
"AMAZON FBA","Amazon UK","11.99","BIA-S925-HOOP-002","11/12/2021 13:19:37","1"
"AMAZON FBA","Amazon UK","8.99","BIA-S925-CHAIN-052-040-200","13/12/2021 16:58:16","1"
"AMAZON FBA","Amazon ES","21.99","BIA-S925-CHAIN-024-140-600","19/12/2021 06:43:04","1"
"AMAZON FBA","Amazon DE","9.99","BIA-S925-CHAIN-052-040-200","06/12/2021 18:08:15","1"
"AMAZON FBA","Amazon FR","21.99","BIA-S925-CHAIN-029-500-190","11/12/2021 09:45:34","1"
"AMAZON FBA","Amazon DE","13.99","BIA-S925-CHAIN-006-035-500","20/12/2021 03:50:56","1"
"AMAZON FBA","Amazon UK","10.99","BIA-ROSE-CHAIN-001-035-450","09/12/2021 11:21:23","1"
"AMAZON FBA","Transter AMA US","10.9","BIA-S925-CHAIN-052-040-200","09/12/2021 21:36:10","2"
